h1,he3,he4,c12,n14,o16,ne20,mg24
0,0.7117608052225002,0.00017310385866268693,0.27261616851078363,0.008913055970568346,0.0022385761753727267,0.018182958974864317,0.003262568902916049,0.001035721359196331
1,0.7242107287837743,0.00021264158115840914,0.2565978734420872,0.010948839206572797,0.0027498773346374267,0.022336030960973058,0.004007754740500599,0.0012722849112693916
2,0.7387696830193495,0.00011493690420738416,0.25085699377850235,0.005918060222334581,0.0014863621031759777,0.01207305850976548,0.0021662692695670425,0.0006876947028630971
3,0.7461854747246197,0.0001388842365977752,0.24127989957054308,0.007151099829829705,0.0017960486010218382,0.01458850424145391,0.002617615776619303,0.0008309772607685727
4,0.7644137277418358,8.726976952566839e-05,0.22770997237598464,0.004493489320977988,0.0011285711849503425,0.009166881959131687,0.0016448139193356054,0.0005221556873899868
5,0.7514384073974864,0.00018968673759880053,0.23144192290336305,0.009766902495149346,0.002453025685581496,0.019924836999478224,0.0035751141318655327,0.00113494064895557
6,0.7683329579473924,0.00010346134333925165,0.22232941493634253,0.005327187684301362,0.0013379603439263022,0.010867657000573915,0.0019499840387169382,0.0006190337059811774
7,0.7863050915983154,7.085380774068332e-05,0.20730018729043234,0.0036482373010019165,0.0009162802445195693,0.007442537037098619,0.0013354146555357308,0.0004239351024543771
8,0.7695262743731494,0.00013477735840951456,0.21830975524018495,0.006939638136029136,0.0017429385216832902,0.014157114680362083,0.002540211534053153,0.0008064048364907211
9,0.7873065485548865,8.348743425079278e-05,0.20515851612756786,0.004298738226087145,0.0010796580890840087,0.008769582628755709,0.0015735264879430666,0.0004995250801805878
10,0.8036266139778123,6.0245255893152964e-05,0.19093611141412786,0.0031020067483489406,0.0007790906312749832,0.006328206804852441,0.0011354703467831644,0.0003604616257594642
11,0.7895537997557277,9.84380295992748e-05,0.20156193888837606,0.005068539050654999,0.0012729989355176252,0.010340004362687864,0.0018553073092424626,0.0005889780308817418
12,0.806232511538165,6.702084979207016e-05,0.1877187007293814,0.0034508796626877393,0.0008667124970918841,0.007039920263155677,0.0012631731150761019,0.0004010016078059046
13,0.8196986187143224,5.1159107339266316e-05,0.17568415273908228,0.002634164198544982,0.0006615887117004811,0.005373790954904746,0.0009642194806950877,0.00030609704831567017
14,0.7883869606529812,0.0001331239439894275,0.19959829346126487,0.006854504416985223,0.0017215565943396306,0.01398343879120964,0.002509048863779397,0.0007965120666603959
15,0.8054891739716209,8.085547285472299e-05,0.18721343135459204,0.004163219472104443,0.0010456216087810018,0.008493119432279771,0.0015239206878711403,0.00048377743217579115
16,0.8201285144958993,5.807852909129771e-05,0.17462976303450714,0.0029904427577650485,0.0007510705568835159,0.006100612198630108,0.0010946330394032732,0.00034749758645055934
17,0.8314218650816322,4.57436699735961e-05,0.16444966220230853,0.002355325259203777,0.0005915563671896181,0.00480494935765933,0.0008621522149423793,0.0002736952047498963
18,0.8034155719464618,0.00010446164379286341,0.18715652149242212,0.00537869279804893,0.0013508962124910092,0.010972729309483491,0.0019688371664218314,0.0006250187403613425
19,0.8189982608652592,6.894754787991926e-05,0.1747790624140977,0.003550084660358285,0.0008916285242094624,0.0072423020734687284,0.00129948648968998,0.0004125294985053127
20,0.5682291556687549,0.00016843765984741002,0.41656895337150557,0.00867279505708179,0.0021782329711361125,0.01769281795615932,0.0031746228844555134,0.0010078023872186258
21,0.5777061598611286,0.00010957294389672555,0.4124046268431945,0.00564187181820454,0.0014169954590708249,0.01150962410093731,0.0020651722158027508,0.0006556008587018556
22,0.6047555994455495,0.0001608560140526605,0.3807267707793635,0.008282418817986033,0.0020801872558217516,0.016896436202956073,0.0030317280813356162,0.000962439605890952
23,0.6190607060172013,0.00010266514271109796,0.371673525826948,0.005286191597805326,0.0013276638908560367,0.01078402349021015,0.0019349776753119546,0.0006142698491662262
24,0.6746538641824147,7.155462082729689e-05,0.31888816469362513,0.0036843219169899657,0.0009253431475143503,0.007516150968650341,0.001348623205598138,0.0004281282330305362
25,0.6339811134648916,0.00016661018839995753,0.3509819291282411,0.008578699203750982,0.0021546001412556244,0.01750085898647837,0.0031401796804653007,0.0009968681929951925
