#The solar chemical composition Asplund et al 2009, metals enrichment of 10.0 He enrichment of 10.0 
e-  13.1139 
Al 7.450000 
Ar 7.400000 
C  9.430000 
Ca 7.340000 
Cl 6.500000 
Co 5.990000 
Cr 6.640000 
Cu 5.190000 
F  5.560000 
Fe 8.500000 
Ge 4.650000 
H 12.000000 
He 11.930000 
K  6.030000 
Mg 8.600000 
Mn 6.430000 
N  8.830000 
Na 7.240000 
Ne 8.930000 
Ni 7.220000 
O  9.690000 
P  6.410000 
S  8.120000 
Si 8.510000 
Ti 5.950000 
V  4.930000 
Zn 5.560000 
